english,japanese,example
launch file,起動ファイル,The launch file starts multiple nodes.
package,パッケージ,The package contains source code and configuration files.
workspace,ワークスペース,The workspace is built with colcon.
callback,コールバック,The callback is executed when a message arrives.
timer,タイマー,The timer runs the function periodically.
quality of service,QoS,Quality of service controls communication reliability.
durability,耐久性,Durability controls whether old messages are stored.
history,履歴,History determines how messages are buffered.
depth,深さ,Depth sets the queue size.
namespace,名前空間,The namespace separates multiple robots.
remapping,リマップ,Remapping changes topic names at runtime.
frame id,フレームID,The frame id identifies the coordinate frame.
timestamp,タイムスタンプ,Each sensor message has a timestamp.
header,ヘッダー,The header contains the frame id and timestamp.
transform,座標変換,A transform represents the relationship between frames.
static transform,静的座標変換,A static transform does not change over time.
dynamic transform,動的座標変換,A dynamic transform changes as the robot moves.
TF tree,TFツリー,The TF tree shows the frame relationships.
base link,ベースリンク,The base link is the main robot frame.
map frame,マップ座標系,The map frame is used for global localization.
odom frame,オドム座標系,The odom frame is used for local motion estimation.
sensor frame,センサ座標系,The sensor frame is attached to the sensor.
robot state publisher,ロボット状態配信ノード,Robot state publisher publishes the robot transforms.
joint state publisher,関節状態配信ノード,Joint state publisher publishes joint positions.
URDF,URDF,The robot model is described in URDF.
xacro,xacro,Xacro is used to generate URDF files.
colcon,colcon,Colcon builds ROS 2 workspaces.
source command,sourceコマンド,The source command sets the ROS environment.
environment variable,環境変数,The environment variable controls package paths.
ament,ament,Ament is the build system used in ROS 2.
CMake,CMake,CMake is used for C++ ROS 2 packages.
setup file,セットアップファイル,The setup file defines Python package settings.
entry point,エントリーポイント,The entry point defines an executable script.
dependency,依存関係,Dependencies are listed in the package file.
interface,インターフェース,The interface defines message types.
bridge,ブリッジ,The bridge connects ROS 2 and Gazebo topics.
simulation time,シミュレーション時間,Simulation time is used in Gazebo.
use sim time,シミュレーション時間を使う設定,The node uses the use sim time parameter.
visualization,可視化,RViz is used for visualization.
RViz,RViz,RViz displays sensor data and robot models.
rosbag,rosbag,Rosbag records and replays ROS 2 topics.
robot,ロボット,The robot moves autonomously indoors and outdoors.
mobile robot,移動ロボット,A mobile robot requires reliable localization.
autonomous navigation,自律走行,Autonomous navigation requires perception and planning.
navigation,ナビゲーション,Navigation depends on localization and mapping.
path planning,経路計画,Path planning finds a safe route.
motion planning,動作計画,Motion planning considers robot constraints.
obstacle avoidance,障害物回避,Obstacle avoidance is necessary in dynamic environments.
waypoint,経由点,The robot moves toward the next waypoint.
trajectory,軌跡,The trajectory is estimated from odometry.
pose,位置姿勢,The pose includes position and orientation.
position,位置,The position is represented by x and y coordinates.
orientation,向き,The orientation is represented by a quaternion.
quaternion,クォータニオン,A quaternion represents 3D orientation.
rotation,回転,The rotation matrix converts coordinates.
translation,並進,The translation vector represents movement.
coordinate frame,座標系,Each sensor has its own coordinate frame.
coordinate transformation,座標変換,Coordinate transformation is required for sensor fusion.
localization,自己位置推定,Localization estimates the robot pose.
mapping,地図生成,Mapping builds a map of the environment.
SLAM,SLAM,SLAM estimates the robot pose and map simultaneously.
visual SLAM,ビジュアルSLAM,Visual SLAM uses camera images.
LiDAR SLAM,LiDAR SLAM,LiDAR SLAM uses point clouds.
landmark,ランドマーク,Landmarks are used for localization.
static landmark,静的ランドマーク,A static landmark is useful for long term mapping.
dynamic object,動的物体,Dynamic objects should not be used as landmarks.
loop closure,ループ閉じ込み,Loop closure reduces accumulated drift.
drift,ドリフト,Odometry drift increases over time.
pose graph,ポーズグラフ,A pose graph represents robot poses and constraints.
graph optimization,グラフ最適化,Graph optimization improves the trajectory estimate.
odometry,オドメトリ,Odometry estimates motion from sensors.
wheel odometry,車輪オドメトリ,Wheel odometry can drift on slippery surfaces.
visual odometry,ビジュアルオドメトリ,Visual odometry estimates motion from images.
inertial measurement unit,慣性計測装置,An inertial measurement unit provides acceleration and angular velocity.
IMU,IMU,The IMU helps estimate robot motion.
global positioning system,全地球測位システム,GPS can provide global position outdoors.
GPS,GPS,GPS accuracy may decrease near buildings.
map,地図,The map is used for navigation.
occupancy grid,占有格子地図,An occupancy grid represents free and occupied space.
costmap,コストマップ,The costmap is used for obstacle avoidance.
global map,大域地図,The global map covers the entire environment.
local map,局所地図,The local map is updated around the robot.
registration,位置合わせ,Point cloud registration aligns two scans.
scan matching,スキャンマッチング,Scan matching estimates motion between LiDAR scans.
nearest neighbor,最近傍,Nearest neighbor search is used in registration.
correspondence,対応関係,Correspondences are found between landmarks.
uncertainty,不確実性,Uncertainty is represented by covariance.
covariance,共分散,Covariance describes estimation uncertainty.
Kalman filter,カルマンフィルタ,A Kalman filter estimates the system state.
extended Kalman filter,拡張カルマンフィルタ,An extended Kalman filter handles nonlinear systems.
unscented Kalman filter,アンセンテッドカルマンフィルタ,An unscented Kalman filter is used for nonlinear estimation.
particle filter,パーティクルフィルタ,A particle filter represents uncertainty with samples.
sensor,センサ,The sensor provides information about the environment.
camera,カメラ,The camera captures color images.
monocular camera,単眼カメラ,A monocular camera has one lens.
stereo camera,ステレオカメラ,A stereo camera estimates depth.
RGB camera,RGBカメラ,An RGB camera captures color images.
depth camera,深度カメラ,A depth camera measures distance.
LiDAR,LiDAR,LiDAR measures distance using laser light.
laser scanner,レーザスキャナ,A laser scanner provides range measurements.
range,距離,The range measurement is noisy at long distances.
field of view,視野角,The field of view determines the visible area.
resolution,解像度,Higher resolution improves object details.
sampling rate,サンプリングレート,The sampling rate affects temporal resolution.
frequency,周波数,The sensor frequency is 10 hertz.
calibration,キャリブレーション,Calibration aligns the camera and LiDAR.
intrinsic parameter,内部パラメータ,Intrinsic parameters describe the camera model.
extrinsic parameter,外部パラメータ,Extrinsic parameters describe sensor placement.
distortion,歪み,Lens distortion must be corrected.
noise,ノイズ,Sensor noise affects detection accuracy.
outlier,外れ値,Outliers are removed before estimation.
filtering,フィルタリング,Filtering reduces noise in point clouds.
smoothing,平滑化,Smoothing makes the trajectory less noisy.
synchronization,同期,Synchronization is required for sensor fusion.
timestamp alignment,タイムスタンプ合わせ,Timestamp alignment reduces fusion errors.
sensor fusion,センサ融合,Sensor fusion combines camera and LiDAR data.
data association,データ対応付け,Data association matches observations to landmarks.
measurement,計測値,The measurement is used to update the state.
range image,レンジ画像,A range image represents LiDAR distance values.
reflectance,反射強度,Reflectance can help identify objects.
intensity,強度,LiDAR intensity depends on the surface material.
beam,ビーム,A LiDAR beam measures one direction.
scan,スキャン,Each scan contains many range measurements.
point,点,"A point has x, y, and z coordinates."
point cloud,点群,A point cloud represents 3D geometry.
voxel,ボクセル,A voxel is a 3D grid cell.
voxelization,ボクセル化,Voxelization reduces point cloud size.
downsampling,ダウンサンプリング,Downsampling reduces computational cost.
ground removal,地面除去,Ground removal extracts objects above the ground.
clustering,クラスタリング,Clustering groups nearby points.
cluster,クラスタ,Each cluster may correspond to an object.
cylinder,円柱,A tree trunk can be modeled as a cylinder.
plane,平面,A wall can be modeled as a plane.
surface,表面,The surface normal is estimated from points.
normal vector,法線ベクトル,A normal vector indicates surface direction.
geometric feature,幾何特徴,Geometric features are useful for landmark selection.
shape,形状,The shape helps identify object types.
size,大きさ,Object size is used for filtering candidates.
height,高さ,Height is useful for detecting poles.
width,幅,Width is measured from the bounding box.
distance,距離,Detection accuracy decreases with distance.
image,画像,The image is used for object detection.
frame,フレーム,Each video frame is processed independently.
video,動画,The detector is applied to a video.
pixel,画素,A pixel stores image intensity or color.
color,色,Color information helps distinguish objects.
brightness,明るさ,Brightness changes under different lighting conditions.
contrast,コントラスト,Low contrast makes detection difficult.
illumination,照明,Illumination affects image quality.
shadow,影,Shadows may cause false detections.
blur,ぼけ,Motion blur reduces detection accuracy.
occlusion,遮蔽,Occlusion makes objects difficult to detect.
viewpoint,視点,The object appearance changes with viewpoint.
scale,スケール,Scale changes when the distance changes.
object detection,物体検出,Object detection finds objects in images.
object recognition,物体認識,Object recognition identifies object categories.
image classification,画像分類,Image classification predicts one label for an image.
semantic segmentation,セマンティックセグメンテーション,Semantic segmentation assigns a class to each pixel.
instance segmentation,インスタンスセグメンテーション,Instance segmentation separates individual objects.
panoptic segmentation,パノプティックセグメンテーション,Panoptic segmentation combines semantic and instance segmentation.
mask,マスク,The mask represents the object region.
region,領域,The region contains the detected object.
region of interest,関心領域,The region of interest is cropped for analysis.
bounding box,バウンディングボックス,The bounding box surrounds the detected object.
center point,中心点,The center point is used for tracking.
corner,角,Building corners can be useful landmarks.
edge,エッジ,Edges are extracted from the image.
contour,輪郭,The contour describes object boundaries.
feature,特徴,Features are extracted from images.
feature point,特徴点,Feature points are matched between images.
descriptor,記述子,A descriptor represents local image appearance.
matching,マッチング,Feature matching finds corresponding points.
tracking,追跡,Tracking follows objects across frames.
optical flow,オプティカルフロー,Optical flow estimates pixel motion.
template matching,テンプレートマッチング,Template matching searches for a known pattern.
camera pose,カメラ姿勢,Camera pose is estimated from image correspondences.
homography,ホモグラフィ,A homography maps points between two planes.
projection,投影,Projection maps 3D points to the image plane.
reprojection error,再投影誤差,Reprojection error measures camera pose accuracy.
calibration board,キャリブレーションボード,A calibration board is used for camera calibration.
lens,レンズ,The lens affects image distortion.
focal length,焦点距離,Focal length is an intrinsic camera parameter.
principal point,主点,The principal point is part of the camera model.
image plane,画像平面,3D points are projected onto the image plane.
crop,切り抜き,We crop the detected face region.
resize,リサイズ,Resize changes the image resolution.
preprocessing,前処理,Preprocessing improves input quality.
postprocessing,後処理,Postprocessing removes duplicate detections.
non maximum suppression,非最大値抑制,Non maximum suppression removes overlapping boxes.
machine learning,機械学習,Machine learning is used for object detection.
deep learning,深層学習,Deep learning models require training data.
neural network,ニューラルネットワーク,The neural network predicts object classes.
model,モデル,The model is trained on labeled images.
dataset,データセット,The dataset contains images and labels.
training data,学習データ,Training data must be correctly annotated.
test data,テストデータ,Test data is used for final evaluation.
validation data,検証データ,Validation data is used to tune parameters.
label,ラベル,Each object has a class label.
class,クラス,The trunk class represents tree trunks.
category,カテゴリ,The model predicts an object category.
annotation,アノテーション,Annotation quality affects model performance.
ground truth,正解データ,Ground truth is used for evaluation.
prediction,予測,The prediction includes class and confidence.
inference,推論,Inference runs the trained model on new data.
training,学習,Training updates the model weights.
fine tuning,ファインチューニング,Fine tuning adapts a model to a new dataset.
pretrained model,事前学習済みモデル,A pretrained model reduces training cost.
weight,重み,Model weights are learned during training.
loss function,損失関数,The loss function measures prediction error.
optimizer,最適化手法,The optimizer updates the model weights.
learning rate,学習率,The learning rate controls update size.
batch size,バッチサイズ,Batch size affects memory usage.
epoch,エポック,An epoch is one pass through the training data.
iteration,反復,Each iteration updates the model once.
backbone,バックボーン,The backbone extracts visual features.
neck,ネック,The neck combines features at different scales.
head,ヘッド,The detection head predicts boxes and classes.
encoder,エンコーダ,The encoder converts input into features.
decoder,デコーダ,The decoder produces final predictions.
transformer,トランスフォーマー,A transformer uses attention mechanisms.
attention,注意機構,Attention focuses on important features.
self attention,自己注意,Self attention relates elements within the same input.
cross attention,交差注意,Cross attention relates queries to image features.
embedding,埋め込み,Embedding represents data as vectors.
query,クエリ,Object queries are used in transformer detectors.
anchor,アンカー,Anchor boxes are used in some detectors.
feature map,特徴マップ,A feature map contains spatial features.
convolution,畳み込み,Convolution extracts local image patterns.
pooling,プーリング,Pooling reduces spatial resolution.
activation function,活性化関数,An activation function adds nonlinearity.
normalization,正規化,Normalization stabilizes training.
dropout,ドロップアウト,Dropout helps prevent overfitting.
regularization,正則化,Regularization improves generalization.
data augmentation,データ拡張,Data augmentation increases dataset diversity.
transfer learning,転移学習,Transfer learning uses knowledge from another dataset.
supervised learning,教師あり学習,Supervised learning uses labeled data.
unsupervised learning,教師なし学習,Unsupervised learning uses unlabeled data.
semi supervised learning,半教師あり学習,Semi supervised learning uses labeled and unlabeled data.
open vocabulary,オープンボキャブラリー,Open vocabulary models can detect classes described by text.
zero shot,ゼロショット,Zero shot detection works without class specific training.
prompt,プロンプト,The prompt describes the target object.
segmentation model,セグメンテーションモデル,The segmentation model outputs masks.
foundation model,基盤モデル,A foundation model is trained on large scale data.
real time detector,リアルタイム検出器,A real time detector is suitable for robotics.
YOLO,YOLO,YOLO is often used for real time object detection.
RF DETR,RF DETR,RF DETR is a transformer based object detector.
SAM,SAM,SAM is used for segmentation.
Segment Anything Model,Segment Anything Model,Segment Anything Model can generate object masks.
DETR,DETR,DETR uses object queries and transformers.
DINO,DINO,DINO is related to transformer based detection.
COCO,COCO,COCO is a common object detection dataset.
Roboflow,Roboflow,Roboflow is used to manage datasets.
CVAT,CVAT,CVAT is used for manual annotation.
labeling tool,ラベリングツール,A labeling tool is used to create annotations.
bounding box annotation,矩形アノテーション,Bounding box annotation is common for object detection.
mask annotation,マスクアノテーション,Mask annotation is used for segmentation.
polygon annotation,ポリゴンアノテーション,Polygon annotation can represent object boundaries.
automatic annotation,自動アノテーション,Automatic annotation can reduce labeling time.
manual correction,手動修正,Manual correction improves annotation quality.
class imbalance,クラス不均衡,Class imbalance can reduce model performance.
train split,学習分割,The train split is used for model training.
validation split,検証分割,The validation split is used during training.
test split,テスト分割,The test split is used for final evaluation.
export format,エクスポート形式,The dataset export format must match the training code.
YOLO format,YOLO形式,YOLO format stores labels in text files.
COCO format,COCO形式,COCO format stores annotations in JSON.
checkpoint,チェックポイント,A checkpoint stores model weights during training.
configuration file,設定ファイル,The configuration file defines training parameters.
class name,クラス名,The class name appears in the detection output.
confidence threshold,信頼度しきい値,The confidence threshold filters weak detections.
overlap threshold,重なりしきい値,The overlap threshold controls duplicate removal.
duplicate detection,重複検出,Duplicate detection occurs when one object is detected multiple times.
false detection,誤検出,False detection should be reduced.
missed detection,検出漏れ,Missed detection is a serious problem for landmarks.
small object,小物体,Small object detection is difficult at long distances.
large object,大物体,Large objects are easier to detect.
tree,木,The tree class may include leaves and branches.
trunk,幹,The trunk class is useful for detecting individual trees.
branch,枝,Branches can confuse tree detection.
leaf,葉,Leaves may cause unstable segmentation.
pole,ポール,A pole can be used as a landmark.
bench,ベンチ,A bench is a possible outdoor landmark.
vending machine,自動販売機,A vending machine is easy to recognize visually.
signboard,看板,A signboard can be detected by camera.
manhole,マンホール,A manhole may be visible from the camera.
guardrail,ガードレール,A guardrail is a long static object.
stairs,階段,Stairs can be detected by geometry and vision.
slope,スロープ,A slope is important for navigation.
planter,プランター,A planter can be used as a landmark.
outdoor unit,室外機,An outdoor unit has a distinctive shape.
water tap,水道,An outdoor water tap may be a small landmark.
building corner,建物の角,A building corner is useful for localization.
wall text,壁の文字,Wall text can be recognized by OCR.
traffic sign,標識,A traffic sign is a stable object.
bicycle rack,サイクルスタンド,A bicycle rack may appear near buildings.
clock tower,時計台,A clock tower is a distinctive landmark.
3D object detection,3D物体検出,3D object detection estimates boxes in 3D space.
bounding box regression,バウンディングボックス回帰,Bounding box regression predicts object locations.
3D bounding box,3Dバウンディングボックス,A 3D bounding box represents object size and pose.
center estimation,中心推定,Center estimation is used in 3D detection.
orientation estimation,向き推定,Orientation estimation predicts object direction.
point feature,点特徴,Point features are extracted from point clouds.
set abstraction,集合抽象化,Set abstraction is used in PointNet plus plus.
PointNet,PointNet,PointNet processes unordered point clouds.
PointNet plus plus,PointNet++,PointNet plus plus captures local geometric structure.
VoteNet,VoteNet,VoteNet predicts object centers from point clouds.
3DETR,3DETR,3DETR applies transformers to 3D object detection.
PointPillars,PointPillars,PointPillars converts point clouds into pseudo images.
CenterPoint,CenterPoint,CenterPoint detects object centers in point clouds.
pillar,ピラー,A pillar is a vertical column in point cloud representation.
bird's eye view,鳥瞰図,Bird's eye view is often used in LiDAR perception.
voxel grid,ボクセル格子,A voxel grid discretizes 3D space.
nearest point,最近点,The nearest point is used for distance computation.
sampling,サンプリング,Sampling reduces the number of points.
farthest point sampling,最遠点サンプリング,Farthest point sampling selects diverse points.
ball query,球近傍探索,Ball query finds neighboring points within a radius.
grouping,グループ化,Grouping collects local neighboring points.
local feature,局所特徴,Local features describe nearby geometry.
global feature,大域特徴,Global features describe the entire object.
point density,点密度,Point density decreases with distance.
sparse data,疎なデータ,LiDAR point clouds are sparse at long range.
dense data,密なデータ,Dense data provides more detailed geometry.
range sensor,距離センサ,A range sensor measures distance to objects.
geometric consistency,幾何的一貫性,Geometric consistency improves landmark reliability.
static world,静的世界,The map should represent the static world.
dynamic scene,動的シーン,Dynamic scenes include moving people and vehicles.
instance aware,インスタンス認識型,Instance aware mapping treats each object separately.
map update,地図更新,Map update removes dynamic objects.
object instance,物体インスタンス,Each object instance is tracked separately.
static object,静的物体,Static objects are suitable for landmarks.
movable object,移動可能物体,Movable objects should be avoided as landmarks.
background object,背景物体,Background objects often remain stable.
program,プログラム,The program subscribes to image topics.
source code,ソースコード,The source code is managed with Git.
repository,リポジトリ,The repository contains the ROS 2 package.
commit,コミット,Each commit should describe one change.
pull request,プルリクエスト,A pull request is used for code review.
issue,課題,We opened an issue for the bug.
bug,バグ,The bug caused the node to crash.
debugging,デバッグ,Debugging helped identify the error.
log,ログ,The log shows the error message.
warning,警告,The warning does not stop execution.
exception,例外,The exception occurred during inference.
stack trace,スタックトレース,The stack trace shows where the error occurred.
command line,コマンドライン,The command line is used to run the script.
terminal,ターミナル,The terminal displays detection results.
script,スクリプト,The script processes video frames.
function,関数,The function returns detected boxes.
class definition,クラス定義,The class definition contains node behavior.
module,モジュール,The module is imported by the main script.
library,ライブラリ,The library provides image processing functions.
framework,フレームワーク,The framework simplifies deep learning development.
API,API,The API is used to load the model.
configuration,設定,The configuration controls model behavior.
setting,設定,The setting can be changed from the launch file.
option,オプション,The option enables GPU inference.
argument,引数,The argument specifies the input file.
path,パス,The path points to the dataset folder.
directory,ディレクトリ,The directory contains training images.
file,ファイル,The file stores annotation labels.
format,形式,The label format must be correct.
installation,インストール,Installation requires several dependencies.
version,バージョン,The library version affects compatibility.
compatibility,互換性,Compatibility with CUDA is important.
environment,環境,The environment uses Ubuntu and CUDA.
virtual environment,仮想環境,A virtual environment isolates Python packages.
container,コンテナ,A Docker container provides a reproducible environment.
Docker image,Dockerイメージ,The Docker image includes CUDA libraries.
compile,コンパイルする,The C++ code must compile without errors.
runtime,実行時,The runtime error occurred during model loading.
execution,実行,Execution starts from the main function.
deployment,デプロイ,Deployment on the robot requires optimization.
GPU,GPU,The GPU accelerates inference.
CPU,CPU,CPU inference is slower than GPU inference.
CUDA,CUDA,CUDA enables GPU computation.
cuDNN,cuDNN,cuDNN is required for some deep learning libraries.
driver,ドライバ,The NVIDIA driver must match the CUDA version.
memory,メモリ,GPU memory limits model size.
simulation,シミュレーション,Simulation allows testing before real experiments.
Gazebo,Gazebo,Gazebo simulates the robot and environment.
world file,ワールドファイル,The world file defines the simulation environment.
SDF,SDF,SDF describes models and worlds in Gazebo.
model file,モデルファイル,The model file defines object geometry.
mesh,メッシュ,The mesh is used for robot visualization.
collision,衝突,Collision geometry is used for physics simulation.
inertia,慣性,Inertia affects physical behavior.
joint,関節,The joint connects two links.
link,リンク,A link represents a rigid body.
spawn,生成する,We spawn the robot in Gazebo.
entity,エンティティ,The robot is an entity in the simulation.
plugin,プラグイン,The plugin connects Gazebo and ROS 2.
physics engine,物理エンジン,The physics engine simulates motion.
model state,モデル状態,Model state includes pose and velocity.
velocity,速度,Velocity is estimated from odometry.
acceleration,加速度,Acceleration is measured by the IMU.
friction,摩擦,Friction affects wheel motion.
gravity,重力,Gravity is simulated by the physics engine.
sensor plugin,センサプラグイン,The sensor plugin publishes simulated data.
paper,論文,This paper proposes a new SLAM method.
abstract,概要,The abstract summarizes the paper.
introduction,序論,The introduction explains the motivation.
literature review,文献レビュー,The literature review summarizes previous studies.
proposed method,提案手法,The proposed method uses object level landmarks.
experiment section,実験章,The experiment section describes the evaluation setup.
ablation study,アブレーション実験,The ablation study evaluates each component.
dataset description,データセット説明,The dataset description includes sensor settings.
implementation detail,実装詳細,Implementation details are described in this section.
result table,結果表,The result table compares several methods.
figure,図,Figure 3 shows the network architecture.
table,表,Table 1 reports the evaluation metrics.
equation,式,The equation defines the loss function.
notation,記法,The notation is introduced before the method.
variable,変数,The variable represents the robot state.
term,項,Each term in the loss has a weight.
loss term,損失項,The loss term penalizes box error.
hyperparameter,ハイパーパラメータ,Hyperparameters are selected using validation data.
architecture,構成,The architecture consists of a backbone and decoder.
pipeline,パイプライン,The pipeline processes sensor data step by step.
component,構成要素,The component can be replaced with another model.
input,入力,The input is an RGB image.
output,出力,The output is a set of bounding boxes.
formulation,定式化,The formulation describes the problem mathematically.
objective function,目的関数,The objective function is minimized during training.
optimization problem,最適化問題,Localization can be formulated as an optimization problem.
constraint,制約,The constraint limits the possible solutions.
dataset split,データセット分割,The dataset split separates training and testing data.
experimental setup,実験設定,The experimental setup is described in detail.
quantitative result,定量的結果,Quantitative results are shown in the table.
qualitative result,定性的結果,Qualitative results are shown in the images.
visual result,視覚的結果,Visual results help explain detection quality.
failure case,失敗例,Failure cases occur under low light conditions.
discussion section,考察章,The discussion section explains the meaning of the results.
conclusion section,結論章,The conclusion section summarizes the contributions.
reference,参考文献,The reference list includes related papers.
citation,引用,Citation is necessary when using previous work.
author,著者,The author proposed a new method.
